City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Haines Junction,CA,60.7522,-137.5108,64.35,48,99,3.44,overcast clouds
302,Yankton,US,42.8711,-97.3973,106.12,41,0,13.8,clear sky
303,Lorengau,PG,-2.0226,147.2712,81.91,72,65,8.55,broken clouds
304,Beringovskiy,RU,63.05,179.3167,45.48,89,100,17.67,light rain
305,Omsukchan,RU,62.5333,155.8,71.42,57,22,9.4,few clouds
306,Bengkulu,ID,-3.8004,102.2655,74.1,89,99,4.21,overcast clouds
307,Pizarro,CO,4.9533,-77.366,79.59,80,100,9.62,overcast clouds
308,Barcelos,PT,41.5388,-8.6151,70.92,84,4,4.14,clear sky
309,Dong Hoi,VN,17.4833,106.6,78.04,90,100,4.76,overcast clouds
310,Greensburg,US,40.3015,-79.5389,87.26,43,0,4.61,clear sky
311,Prince Rupert,CA,54.3161,-130.3201,55.49,88,100,37.98,light rain
312,Bubaque,GW,11.2833,-15.8333,81.16,81,73,10.49,broken clouds
313,Port Macquarie,AU,-31.4333,152.9167,55.33,80,75,9.31,broken clouds
314,Show Low,US,34.2542,-110.0298,86.65,28,0,5.75,clear sky
315,Byron Bay,AU,-28.65,153.6167,51.71,83,68,11.65,broken clouds
316,Westerly,US,41.3776,-71.8273,82.74,59,0,10.36,clear sky
317,Oktyabrskoye,RU,43.0645,44.7417,71.74,88,94,4.47,overcast clouds
318,Tuatapere,NZ,-46.1333,167.6833,33.57,93,81,4.94,broken clouds
319,Bouna,CI,9.2667,-3.0,75.09,87,100,6.96,light rain
320,Kahama,TZ,-3.8333,32.6,66.61,44,3,7.92,clear sky
321,Churapcha,RU,62.0025,132.4325,69.03,94,86,14.32,light rain
322,Rock Springs,US,41.5875,-109.2029,91.24,14,0,14.97,clear sky
323,Hachinohe,JP,40.5,141.5,68.76,92,74,3.24,broken clouds
324,Pingliang,CN,35.5392,106.6861,71.06,87,100,4.72,overcast clouds
325,Gorontalo,ID,0.5412,123.0595,75.0,93,100,2.84,overcast clouds
326,Pauini,BR,-7.7136,-66.9764,77.38,88,100,3.47,overcast clouds
327,Port Moresby,PG,-9.4431,147.1797,76.42,88,40,5.75,scattered clouds
328,Vestmannaeyjar,IS,63.4427,-20.2734,51.42,95,100,10.31,overcast clouds
329,Corning,US,42.1428,-77.0547,82.11,37,0,0.0,clear sky
330,Soe,ID,-9.8607,124.284,62.71,92,97,3.87,overcast clouds
331,Kruisfontein,ZA,-34.0033,24.7314,51.12,89,61,9.78,broken clouds
332,Snyder,US,32.7179,-100.9176,102.31,15,0,6.91,clear sky
333,Matagami,CA,49.7502,-77.6328,73.51,49,75,5.75,broken clouds
334,Gigante,CO,2.3868,-75.5453,79.47,66,26,5.06,scattered clouds
335,Sisimiut,GL,66.9395,-53.6735,42.12,80,99,7.7,overcast clouds
336,Malaya Serdoba,RU,52.4661,44.9512,68.9,69,84,12.64,broken clouds
337,Kahului,US,20.8947,-156.47,84.22,65,20,18.41,few clouds
338,Tabou,CI,4.423,-7.3528,75.42,77,40,7.74,scattered clouds
339,Kernersville,US,36.1199,-80.0736,67.17,85,100,11.5,light rain
340,Port-Cartier,CA,50.0334,-66.8654,61.02,68,100,6.13,overcast clouds
341,Umm Lajj,SA,25.0213,37.2685,85.12,60,85,3.67,overcast clouds
342,Karwar,IN,14.8,74.1333,77.94,85,100,19.51,light rain
343,Laguna,US,38.421,-121.4238,99.09,27,0,8.05,clear sky
344,Constitucion,CL,-35.3333,-72.4167,51.78,75,26,0.54,scattered clouds
345,Westport,US,41.1415,-73.3579,84.61,46,0,3.0,clear sky
